ID,Year,roe,ta,cc,ffr,lf
CATY,2011,0.057,0.18930096,0.085119028,-0.111612903,8.73132471
CATY,2012,0.064,0.00338707,0.081273135,0.092903226,4.94387983
CATY,2013,0.076,0.31913634,0.061679646,-0.079354839,7.899735023
CATY,2014,0.089,0.11914151,0.075446636,0.037419355,4.565764439
CATY,2015,0.095,-0.0023696,0.064467186,0.118064516,1.082028275
CATY,2016,0.098,-0.00585918,0.057874364,0.299354839,1.23973597
CATY,2017,0.091,-0.00303749,0.067805067,0.761612903,0.431470995
CATY,2018,0.131,-0.08514775,0.061834403,0.972580645,0.101179986
CATY,2019,0.125,0.00790062,0.049918222,-0.723225806,0.01556497
CATY,2020,0.097,0.57560369,0.143210333,-1.460967742,-7.588985688
CATY,2021,0.121,0.17559228,0.071445957,-0.010322581,15.91849214
CBU,2004,0.111,0.06269718,0.05064302,1.171935484,1.065023483
CBU,2005,0.11,0.03770142,0.038972171,2.000967742,1.224294601
CBU,2006,0.084,0.02666631,0.032639133,1.080967742,0.671091796
CBU,2007,0.092,0.02634684,0.013461014,-0.993548387,-0.776062595
CBU,2008,0.092,0.92001516,0.067851275,-4.089354839,-10.79813249
CBU,2009,0.074,-0.00158462,0.051538923,-0.037096774,-23.4155207
CBU,2010,0.105,0.07526413,0.057877427,0.06516129,6.06811579
CBU,2011,0.101,0.18930096,0.085119028,-0.111612903,8.73132471
CBU,2012,0.087,0.00338707,0.081273135,0.092903226,4.94387983
CBU,2013,0.091,0.31913634,0.061679646,-0.079354839,7.899735023
CBU,2014,0.095,0.11914151,0.075446636,0.037419355,4.565764439
CBU,2015,0.087,-0.0023696,0.064467186,0.118064516,1.082028275
CBU,2016,0.085,-0.00585918,0.057874364,0.299354839,1.23973597
CBU,2017,0.099,-0.00303749,0.067805067,0.761612903,0.431470995
CBU,2018,0.101,-0.08514775,0.061834403,0.972580645,0.101179986
CBU,2019,0.093,0.00790062,0.049918222,-0.723225806,0.01556497
CBU,2020,0.08,0.57560369,0.143210333,-1.460967742,-7.588985688
CBU,2021,0.092,0.17559228,0.071445957,-0.010322581,15.91849214
CFR,2004,0.178,0.06269718,0.05064302,1.171935484,1.065023483
CFR,2005,0.186,0.03770142,0.038972171,2.000967742,1.224294601
CFR,2006,0.171,0.02666631,0.032639133,1.080967742,0.671091796
CFR,2007,0.15,0.02634684,0.013461014,-0.993548387,-0.776062595
CFR,2008,0.128,0.92001516,0.067851275,-4.089354839,-10.79813249
CFR,2009,0.097,-0.00158462,0.051538923,-0.037096774,-23.4155207
CFR,2010,0.102,0.07526413,0.057877427,0.06516129,6.06811579
